Time (s),Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Sensor 8,Proses
88,601,306,382,243,117,163,163,163,S
89,604,306,382,243,117,162,162,162,S
90,605,306,383,243,118,163,163,163,S
91,606,307,384,244,117,162,162,162,S
92,605,305,382,243,117,162,162,162,S
93,604,306,383,243,117,162,162,162,S
94,604,305,382,248,117,162,159,162,S
95,605,305,382,243,117,162,162,162,S
96,605,306,384,243,118,162,161,161,S
97,605,305,382,243,118,161,161,161,S
98,603,303,386,242,117,161,161,161,S
99,606,306,383,243,118,161,161,161,S
100,605,305,383,243,117,161,161,161,S
101,605,310,382,243,113,160,159,160,S
102,605,305,382,242,117,160,160,160,S
103,605,305,382,242,117,160,160,160,S
104,606,305,383,243,117,160,160,161,S
105,606,305,382,242,117,160,160,160,S
106,606,305,383,242,117,160,160,160,S
107,607,305,382,243,117,160,160,160,S
108,605,304,382,243,116,160,159,160,S
109,607,305,383,242,117,160,160,160,S
110,607,304,382,242,117,160,159,159,S
111,607,303,383,243,118,160,159,160,S
112,608,305,382,242,117,159,159,159,S
113,607,303,382,241,115,159,159,159,S
114,608,303,381,241,116,159,159,159,S
115,610,303,382,241,116,159,159,159,S
116,611,303,381,241,116,158,158,158,S
117,611,303,382,241,116,158,158,158,S
118,611,304,380,241,115,158,158,157,S
119,611,304,382,241,116,158,158,158,S
120,611,303,381,241,116,158,158,158,S
121,611,301,381,239,121,157,158,158,S
1,633,307,386,243,118,159,159,159,P
2,624,301,380,239,115,155,156,156,P
3,620,297,378,237,116,154,154,154,P
4,619,294,373,229,116,147,147,147,P
5,617,291,368,221,116,137,137,137,P
6,616,289,363,215,116,129,129,129,P
7,613,286,360,207,115,121,122,121,P
8,611,283,355,205,115,118,118,118,P
9,609,280,352,202,116,114,114,114,P
10,607,278,349,198,116,110,110,111,P
11,606,276,346,198,116,108,108,108,P
12,604,273,344,196,116,105,105,105,P
13,602,270,341,193,116,103,103,103,P
14,601,267,340,192,116,101,100,101,P
15,599,267,337,191,116,99,99,99,P
16,598,264,335,190,115,97,97,97,P
17,596,264,333,189,115,97,97,96,P
18,596,261,332,188,115,95,95,95,P
19,593,259,330,187,116,93,93,93,P
20,593,258,329,187,115,91,92,91,P
21,592,256,328,186,116,92,91,92,P
22,590,255,327,185,116,90,90,90,P
23,589,253,325,185,116,90,89,89,P
24,590,252,325,184,116,88,88,88,P
25,588,250,323,183,116,88,88,88,P
26,588,249,322,183,116,87,87,87,P
27,586,248,321,182,116,86,86,86,P
28,585,247,320,182,116,85,86,86,P
29,583,245,319,181,115,85,85,85,P
30,586,245,320,181,116,84,84,84,P
31,585,244,319,181,116,84,84,84,P
32,583,243,317,181,116,83,83,83,P
33,582,240,321,179,116,82,83,82,P
34,582,240,316,180,116,82,82,82,P
35,581,240,316,180,116,82,82,82,P
36,578,238,313,179,116,82,82,81,P
37,577,238,314,179,116,81,80,81,P
38,576,237,313,179,116,80,80,80,P
39,577,236,313,179,116,80,83,80,P
40,576,233,311,178,116,79,79,79,P
41,575,234,311,178,115,79,79,79,P
42,577,234,311,178,116,79,79,79,P
43,575,233,310,178,116,78,79,80,P
44,574,232,309,177,116,79,78,78,P
45,572,231,309,177,116,78,78,78,P
46,571,231,309,178,116,78,75,77,P
47,570,230,308,177,116,77,78,77,P
48,568,230,308,177,116,77,77,77,P
49,567,229,307,176,116,77,76,77,P
50,568,229,307,177,116,76,76,77,P
51,567,228,306,177,116,76,76,76,P
52,566,227,306,176,116,76,76,76,P
53,565,225,305,176,116,76,76,76,P
54,563,227,305,176,116,76,76,76,P
55,568,226,304,175,116,75,75,75,P
56,565,225,303,181,115,75,75,75,P
57,566,225,304,176,116,75,75,75,P
58,565,224,303,175,115,75,75,75,P
59,564,225,301,174,114,74,73,79,P
60,560,224,303,175,116,74,75,74,P
61,557,223,301,174,116,74,74,74,P
62,555,223,304,175,116,72,74,73,P
63,558,223,302,175,116,74,74,74,P
64,556,222,302,175,116,73,74,74,P
65,555,221,301,174,116,73,73,73,P
66,553,221,301,174,116,73,73,73,P
67,550,221,300,174,116,73,73,73,P
68,544,220,300,174,116,73,73,73,P
69,540,219,299,174,116,73,73,73,P
70,540,219,299,174,116,73,73,73,P
71,540,219,299,174,116,73,73,73,P
72,540,219,299,173,116,72,72,73,P
73,542,218,298,174,116,72,72,72,P
74,543,218,297,173,115,72,72,71,P
75,542,218,297,173,116,72,72,72,P
76,542,217,297,173,116,72,72,72,P
77,541,217,298,172,116,73,74,72,P
78,541,217,297,173,116,71,71,71,P
79,541,217,297,173,116,71,71,71,P
80,541,216,297,173,116,71,71,71,P
81,539,216,295,173,116,71,71,71,P
82,540,216,296,173,116,71,71,71,P
83,540,216,296,173,116,71,71,71,P
84,538,215,295,172,116,70,70,71,P
85,538,215,295,172,116,71,71,71,P
86,538,216,296,172,116,70,70,70,P
87,536,214,294,172,116,70,70,70,P
88,538,215,294,172,116,70,70,70,P
89,538,211,294,170,116,70,70,70,P
90,531,214,293,172,115,70,70,70,P
91,530,213,292,171,115,70,70,69,P
92,532,214,291,173,114,70,69,74,P
93,529,213,292,172,116,70,69,69,P
94,530,213,293,172,116,70,70,70,P
95,526,219,292,172,116,70,69,69,P
96,525,213,292,171,116,69,69,69,P
97,524,213,292,171,116,69,69,69,P
98,526,213,292,171,115,69,69,69,P
99,523,212,291,171,115,69,69,69,P
100,524,212,291,172,116,72,68,70,P
101,525,212,292,171,116,69,69,69,P
102,521,211,291,171,116,69,69,69,P
103,523,210,290,171,116,69,68,69,P
104,523,212,291,172,116,68,69,68,P
105,522,212,291,171,116,69,69,68,P
106,524,211,289,171,116,69,68,68,P
107,523,211,290,171,116,68,68,68,P
108,520,211,290,171,116,68,68,73,P
109,520,211,290,171,116,68,68,68,P
110,522,211,289,171,116,68,69,68,P
111,516,208,289,169,116,68,68,69,P
112,527,210,288,171,116,68,68,68,P
113,529,210,289,171,116,68,68,68,P
114,531,212,287,171,114,68,67,73,P
115,529,210,288,171,116,67,68,67,P
116,529,210,288,171,116,67,68,67,P
117,530,209,288,170,116,67,68,68,P
118,531,211,288,171,116,68,67,67,P
119,530,210,288,170,116,67,67,67,P
120,531,210,288,171,116,67,67,67,P
121,530,209,287,171,116,67,67,67,P
122,530,210,286,171,115,68,68,67,P
123,530,210,287,170,116,67,67,67,P
124,529,209,286,170,116,67,67,67,P
125,529,208,287,168,116,65,72,66,P
126,529,209,287,170,116,67,67,67,P
127,529,209,287,170,116,67,67,67,P
128,529,205,285,169,116,67,67,67,P
129,528,209,286,170,116,66,66,66,P
130,527,208,285,170,116,67,66,67,P
131,526,208,285,170,116,66,66,66,P
132,526,208,285,170,116,66,66,66,P
133,526,208,285,170,116,66,67,66,P
134,525,208,285,170,116,66,66,66,P
135,525,208,285,170,116,66,66,66,P
136,525,208,285,170,117,63,65,64,P
137,524,208,284,170,116,66,66,66,P
138,523,207,284,169,116,66,66,66,P
139,523,205,283,168,115,65,68,66,P
140,522,207,283,169,116,66,66,66,P
141,523,208,284,169,116,66,66,66,P
142,520,208,283,170,114,66,66,65,P
143,521,207,283,169,116,66,66,66,P
144,520,208,283,169,116,66,66,66,P
145,520,207,283,169,116,66,66,66,P
146,518,207,282,169,116,66,66,66,P
147,519,207,283,169,116,65,65,65,P
148,518,207,282,169,116,65,65,66,P
149,517,207,282,169,116,66,66,65,P
150,517,207,282,168,117,66,65,66,P
151,517,207,283,169,116,65,66,66,P
152,516,207,282,169,116,65,65,65,P
153,516,205,282,167,116,64,70,65,P
154,513,206,282,169,116,65,65,65,P
155,513,207,282,169,116,65,65,65,P
156,513,206,284,169,116,64,65,65,P
157,512,206,282,169,116,65,65,65,P
158,512,206,281,169,116,65,65,65,P
159,512,207,281,169,116,65,65,65,P
160,513,206,280,168,116,65,65,65,P
161,513,206,281,169,116,65,65,65,P
162,513,206,281,169,116,65,65,65,P
163,513,206,281,169,116,65,65,64,P
164,513,206,280,169,116,65,65,65,P
165,513,206,280,169,116,65,65,65,P
166,512,206,280,169,116,65,65,65,P
167,512,206,280,169,116,65,65,65,P
168,511,206,279,168,116,65,65,65,P
169,512,206,279,168,116,65,65,65,P
170,511,206,279,169,116,64,64,64,P
171,510,206,279,169,116,64,64,64,P
172,510,206,279,168,116,65,65,65,P
173,509,205,278,167,116,64,62,64,P
174,510,205,279,168,116,64,64,64,P
175,509,205,279,168,116,65,64,64,P
176,508,205,279,167,116,63,69,63,P
177,508,205,279,168,116,64,64,64,P
178,508,205,278,168,116,64,64,64,P
179,509,207,277,169,116,67,64,65,P
180,508,205,278,168,116,64,64,64,P
181,507,205,278,168,116,64,64,64,P
182,506,205,277,172,115,65,64,64,P
183,506,205,278,168,116,64,64,64,P
184,506,205,278,168,116,64,64,64,P
185,505,204,276,168,115,65,64,63,P
186,505,205,277,168,116,64,64,64,P
187,507,205,278,168,116,64,64,64,P
188,505,204,276,169,117,63,65,63,P
189,504,204,277,168,116,64,64,64,P
190,505,205,277,168,116,64,64,64,P
191,504,201,277,167,116,64,64,65,P
192,503,205,277,168,116,64,63,63,P
193,503,204,276,168,116,64,64,63,P
194,503,202,276,167,117,64,63,64,P
195,502,204,276,168,116,63,64,64,P
196,502,205,277,168,116,64,64,64,P
197,501,201,276,166,116,64,62,64,P
198,501,204,276,168,116,63,63,63,P
199,501,204,276,168,116,64,64,64,P
200,501,202,275,166,122,63,64,63,P
201,498,203,274,167,116,63,63,63,P
202,500,204,275,168,116,63,63,64,P
203,499,205,275,168,115,64,64,64,P
204,499,204,275,167,116,63,63,63,P
205,499,205,275,168,116,63,63,63,P
206,499,202,275,166,115,62,68,63,P
207,497,203,274,167,116,63,63,63,P
208,498,204,275,168,116,63,63,63,P
209,497,202,279,166,116,64,63,63,P
210,496,204,274,167,116,63,63,63,P
211,497,204,274,167,116,63,63,63,P
212,499,204,274,165,116,63,63,63,P
213,496,204,274,167,116,63,63,63,P
214,494,203,273,167,116,63,63,63,P
215,495,203,273,167,115,63,63,63,P
216,495,204,274,167,116,63,63,63,P
217,495,204,273,167,116,63,63,63,P
218,494,204,273,167,116,63,63,63,P
219,493,203,273,167,116,63,63,63,P
220,493,203,273,167,116,63,63,63,P
221,493,203,273,167,116,63,63,63,P
222,492,203,272,167,116,63,63,63,P
223,491,203,273,167,116,63,63,63,P
224,493,203,273,167,116,63,63,63,P
225,492,203,272,167,116,63,63,63,P
226,491,203,272,167,116,63,63,63,P
227,490,202,276,167,116,63,63,64,P
228,490,203,272,167,116,62,63,63,P
229,491,203,272,167,116,63,63,63,P
230,491,204,272,168,113,62,61,63,P
231,490,203,272,167,116,62,63,62,P
232,490,203,272,167,116,63,63,63,P
233,489,204,272,167,116,63,63,62,P
234,488,203,272,167,116,63,62,62,P
235,488,203,271,167,116,62,63,63,P
236,487,203,271,167,116,62,63,63,P
237,487,203,271,167,115,63,63,63,P
238,488,203,271,167,116,63,62,63,P
239,488,203,271,167,116,63,62,62,P
240,487,203,272,166,117,63,64,62,P
241,486,203,270,167,116,62,62,62,P
242,486,203,271,167,116,62,63,62,P
243,486,202,271,168,115,63,61,62,P
244,484,202,270,167,116,62,62,62,P
245,485,203,270,167,116,62,62,62,P
246,485,201,270,166,121,62,63,62,P
247,484,203,270,167,116,62,62,62,P
248,485,203,270,167,116,62,62,62,P
249,484,203,270,167,114,63,61,62,P
250,484,203,270,167,116,62,62,62,P
251,484,203,270,167,116,62,62,62,P
